2025-03-24 11:20:52,221 - INFO - ------------------------------------
2025-03-24 11:20:52,221 - INFO - ------------------------------------
2025-03-24 11:20:52,221 - INFO - ----- New Pacman A* Search Run -----
2025-03-24 11:20:52,221 - INFO - Start time: 2025-03-24 11:20:52.221611
2025-03-24 11:20:52,222 - INFO - Arguments: Namespace(layout_file='layouts/example_layout.txt', heuristic='mfd', no_visual=False, cell_size=20, delay=0.1, output=None)
2025-03-24 11:20:52,222 - INFO - Loading maze from layouts/example_layout.txt
2025-03-24 11:20:52,222 - INFO - Loading maze from file: layouts/example_layout.txt
2025-03-24 11:20:52,222 - INFO - Pacman start position found at (17, 1)
2025-03-24 11:20:52,222 - INFO - Maze loaded, dimensions: 36x18
2025-03-24 11:20:52,222 - INFO - Total food points: 8
2025-03-24 11:20:52,222 - INFO - Total magical pies: 4
2025-03-24 11:20:52,222 - INFO - Maze loaded successfully
2025-03-24 11:20:52,222 - INFO - Using Minimum Food Distance heuristic
2025-03-24 11:20:52,222 - INFO - Starting A* search
2025-03-24 11:20:52,222 - INFO - A* search started from position (17, 1)
2025-03-24 11:20:52,222 - INFO - Number of food points: 8
2025-03-24 11:20:52,222 - INFO - Number of magical pies: 4
2025-03-24 11:20:54,102 - INFO - States explored: 58000, current position: (4, 6), remaining food: 5
2025-03-24 11:20:54,132 - INFO - States explored: 59000, current position: (16, 1), remaining food: 6
2025-03-24 11:20:54,163 - INFO - States explored: 60000, current position: (22, 8), remaining food: 3
2025-03-24 11:20:54,193 - INFO - States explored: 61000, current position: (6, 1), remaining food: 5
2025-03-24 11:20:54,223 - INFO - States explored: 62000, current position: (30, 14), remaining food: 5
2025-03-24 11:20:54,253 - INFO - States explored: 63000, current position: (19, 15), remaining food: 5
2025-03-24 11:20:54,284 - INFO - States explored: 64000, current position: (10, 4), remaining food: 5
2025-03-24 11:20:54,315 - INFO - States explored: 65000, current position: (1, 5), remaining food: 6
2025-03-24 11:20:54,345 - INFO - States explored: 66000, current position: (32, 13), remaining food: 7
2025-03-24 11:20:54,463 - INFO - States explored: 67000, current position: (2, 9), remaining food: 6
2025-03-24 11:20:54,495 - INFO - States explored: 68000, current position: (12, 4), remaining food: 3
2025-03-24 11:20:54,524 - INFO - States explored: 69000, current position: (27, 15), remaining food: 6
2025-03-24 11:20:54,554 - INFO - States explored: 70000, current position: (6, 9), remaining food: 6
2025-03-24 11:20:54,586 - INFO - States explored: 71000, current position: (8, 6), remaining food: 4
2025-03-24 11:20:54,615 - INFO - States explored: 72000, current position: (11, 13), remaining food: 4
2025-03-24 11:20:54,645 - INFO - States explored: 73000, current position: (32, 3), remaining food: 4
2025-03-24 11:20:54,675 - INFO - States explored: 74000, current position: (8, 9), remaining food: 5
2025-03-24 11:20:54,707 - INFO - States explored: 75000, current position: (2, 15), remaining food: 4
2025-03-24 11:20:54,737 - INFO - States explored: 76000, current position: (19, 6), remaining food: 4
2025-03-24 11:20:54,765 - INFO - States explored: 77000, current position: (4, 4), remaining food: 5
2025-03-24 11:20:54,796 - INFO - States explored: 78000, current position: (19, 15), remaining food: 4
2025-03-24 11:20:54,830 - INFO - States explored: 79000, current position: (10, 13), remaining food: 4
2025-03-24 11:20:54,859 - INFO - States explored: 80000, current position: (17, 15), remaining food: 6
2025-03-24 11:20:54,891 - INFO - States explored: 81000, current position: (11, 15), remaining food: 5
2025-03-24 11:20:54,921 - INFO - States explored: 82000, current position: (26, 8), remaining food: 5
2025-03-24 11:20:55,064 - INFO - States explored: 83000, current position: (2, 16), remaining food: 4
2025-03-24 11:20:55,094 - INFO - States explored: 84000, current position: (4, 9), remaining food: 4
2025-03-24 11:20:55,122 - INFO - States explored: 85000, current position: (16, 3), remaining food: 4
2025-03-24 11:20:55,154 - INFO - States explored: 86000, current position: (28, 13), remaining food: 4
2025-03-24 11:20:55,184 - INFO - States explored: 87000, current position: (5, 14), remaining food: 3
2025-03-24 11:20:55,213 - INFO - States explored: 88000, current position: (22, 1), remaining food: 4
2025-03-24 11:20:55,243 - INFO - States explored: 89000, current position: (11, 15), remaining food: 5
2025-03-24 11:20:55,272 - INFO - States explored: 90000, current position: (11, 15), remaining food: 5
2025-03-24 11:20:55,303 - INFO - States explored: 91000, current position: (13, 3), remaining food: 4
2025-03-24 11:20:55,335 - INFO - States explored: 92000, current position: (1, 4), remaining food: 5
2025-03-24 11:20:55,365 - INFO - States explored: 93000, current position: (33, 9), remaining food: 5
2025-03-24 11:20:55,396 - INFO - States explored: 94000, current position: (17, 3), remaining food: 4
2025-03-24 11:20:55,426 - INFO - States explored: 95000, current position: (9, 3), remaining food: 5
2025-03-24 11:20:55,457 - INFO - States explored: 96000, current position: (25, 2), remaining food: 5
2025-03-24 11:20:55,487 - INFO - States explored: 97000, current position: (12, 15), remaining food: 4
2025-03-24 11:20:55,517 - INFO - States explored: 98000, current position: (8, 5), remaining food: 6
2025-03-24 11:20:55,547 - INFO - States explored: 99000, current position: (1, 12), remaining food: 3
2025-03-24 11:20:55,580 - INFO - States explored: 100000, current position: (3, 1), remaining food: 4
2025-03-24 11:20:55,610 - INFO - States explored: 101000, current position: (5, 1), remaining food: 4
2025-03-24 11:20:55,640 - INFO - States explored: 102000, current position: (14, 9), remaining food: 3
2025-03-24 11:20:55,671 - INFO - States explored: 103000, current position: (21, 8), remaining food: 3
2025-03-24 11:20:55,839 - INFO - States explored: 104000, current position: (23, 8), remaining food: 5
2025-03-24 11:20:55,868 - INFO - States explored: 105000, current position: (15, 15), remaining food: 4
2025-03-24 11:20:55,898 - INFO - States explored: 106000, current position: (23, 15), remaining food: 4
2025-03-24 11:20:55,926 - INFO - States explored: 107000, current position: (12, 7), remaining food: 5
2025-03-24 11:20:55,958 - INFO - States explored: 108000, current position: (8, 5), remaining food: 6
2025-03-24 11:20:55,989 - INFO - States explored: 109000, current position: (8, 1), remaining food: 6
